Date,Symbol,Open,High,Low,Close,Volume,Daily_Return,Cumulative_Return_%
2023-10-03,BAJAJ-AUTO,5065.0,5073.0,4997.1,5016.45,464531,0.0,0.0
2023-10-04,BAJAJ-AUTO,5011.25,5019.2,4903.05,4918.6,256544,-0.019505825833009305,-1.9505825833009305
2023-10-05,BAJAJ-AUTO,4935.0,5039.3,4925.1,5011.05,657876,0.018795998861464547,-0.10764584516939069
2023-10-06,BAJAJ-AUTO,5120.0,5120.0,4997.5,5014.6,279352,0.0007084343600642917,-0.03687866917839733
2023-10-09,BAJAJ-AUTO,4957.05,5068.7,4957.05,5007.3,244083,-0.0014557492123000726,-0.18239990431480058
2023-10-10,BAJAJ-AUTO,5007.3,5064.0,5002.2,5037.5,307502,0.006031194456094013,0.4196194520029062
2023-10-11,BAJAJ-AUTO,5055.0,5095.0,5050.0,5064.4,575680,0.0053399503722084685,0.9558552362726624
2023-10-12,BAJAJ-AUTO,5085.0,5151.0,5051.1,5106.6,472168,0.008332675144143487,1.7970875818557053
2023-10-13,BAJAJ-AUTO,5089.95,5123.45,5040.0,5052.4,387366,-0.010613715583754457,0.7166422470073375
2023-10-16,BAJAJ-AUTO,5035.0,5099.4,5032.0,5076.7,158560,0.004809595439791092,1.2010485502696122
2023-10-17,BAJAJ-AUTO,5083.0,5150.0,5070.0,5141.25,318565,0.0127149526267063,2.487815088359291
2023-10-18,BAJAJ-AUTO,5150.0,5198.75,5125.65,5137.35,360985,-0.000758570386579116,2.4100708668480575
2023-10-19,BAJAJ-AUTO,5300.0,5495.0,5245.0,5482.6,2838352,0.06720390862993564,9.292427912168954
2023-10-20,BAJAJ-AUTO,5450.0,5510.0,5436.9,5489.3,763919,0.0012220479334621448,9.425988497842086
2023-10-23,BAJAJ-AUTO,5453.05,5493.4,5395.05,5405.4,451167,-0.015284280327182098,7.753491014562064
2023-10-25,BAJAJ-AUTO,5385.0,5423.95,5332.3,5347.3,620266,-0.010748510748510687,6.595301458202485
2023-10-26,BAJAJ-AUTO,5333.85,5347.45,5236.0,5259.35,746266,-0.01644755297065803,4.842069591045428
2023-10-27,BAJAJ-AUTO,5265.0,5423.7,5265.0,5373.55,843465,0.02171370986909027,7.118579872220354
2023-10-30,BAJAJ-AUTO,5388.0,5397.75,5275.0,5308.9,360967,-0.012031152590001093,5.829819892553445
2023-10-31,BAJAJ-AUTO,5340.0,5366.15,5292.6,5314.05,400987,0.000970069129198281,5.932482133779815
2023-11-01,BAJAJ-AUTO,5305.0,5449.5,5305.0,5344.35,619765,0.005701865808564133,6.536494931674741
2023-11-02,BAJAJ-AUTO,5383.9,5392.85,5285.0,5318.4,304362,-0.00485559516124523,6.0191968423884745
2023-11-03,BAJAJ-AUTO,5357.0,5377.05,5316.6,5368.95,448715,0.009504738267148038,7.0268815596686185
2023-11-06,BAJAJ-AUTO,5380.0,5427.5,5377.1,5406.85,394137,0.007059108391771263,7.782395917431595
2023-11-07,BAJAJ-AUTO,5406.85,5445.0,5405.3,5419.0,202689,0.0022471494493097044,8.02459906906272
2023-11-08,BAJAJ-AUTO,5434.0,5435.25,5381.25,5397.6,202145,-0.003949068093744179,7.598002571539575
2023-11-09,BAJAJ-AUTO,5421.8,5455.0,5382.15,5418.9,232773,0.003946198310359916,8.02260562748549
2023-11-10,BAJAJ-AUTO,5409.95,5427.05,5349.05,5392.05,149325,-0.00495488014172607,7.48736656400435
2023-11-12,BAJAJ-AUTO,5425.0,5455.0,5358.6,5442.55,29055,0.009365640155414079,8.4940545604959
2023-11-13,BAJAJ-AUTO,5435.0,5439.8,5395.55,5425.2,93497,-0.003187843933450396,8.148192446849789
2023-11-15,BAJAJ-AUTO,5525.0,5555.0,5461.1,5536.7,640468,0.02055223770552228,10.370879805440026
2023-11-16,BAJAJ-AUTO,5520.0,5583.3,5496.95,5550.9,324712,0.002564704607437518,10.653948509403977
2023-11-17,BAJAJ-AUTO,5556.9,5674.95,5479.35,5631.5,531539,0.014520167900700764,12.260662420636015
2023-11-20,BAJAJ-AUTO,5610.05,5675.95,5606.0,5650.15,679425,0.00331172866909335,12.632439274785856
