Symbol,Initial_Price,Current_Price,Yearly_Return_%
INDUSINDBK,1435.4,998.2,-30.46
ASIANPAINT,3166.85,2472.2,-21.94
BAJFINANCE,7967.6,6683.95,-16.11
ADANIENT,2387.25,2228.0,-6.67
HINDUNILVR,2468.9,2445.25,-0.96
NESTLEIND,2231.52,2247.3,0.71
KOTAKBANK,1727.05,1761.45,1.99
BAJAJFINSV,1561.05,1600.85,2.55
TITAN,3196.25,3308.7,3.52
MARUTI,10346.9,11063.6,6.93
